test_id,symbol,interval,short_ma,long_ma,use_rsi_filter,rsi_period,rsi_oversold,rsi_overbought,train_final_balance,test_final_balance,max_drawdown_pct,win_rate_pct
90,ETHUSDT,5,20,100,False,14,30,70,9997.86,10000.19,0.01,38.1
264,XRPUSDT,15,10,100,False,14,30,70,9999.04,10000.09,0.0,36.36
123,BNBUSDT,1,20,50,True,14,30,70,9999.93,10000.07,0.0,50.0
270,XRPUSDT,15,20,100,False,14,30,70,9999.47,10000.07,0.0,42.86
94,ETHUSDT,15,5,50,False,14,30,70,9999.01,10000.03,0.0,33.33
268,XRPUSDT,15,20,50,False,14,30,70,9998.82,10000.03,0.0,33.33
1,BTCUSDT,1,5,30,True,14,30,70,9999.89,10000.0,0.0,0.0
3,BTCUSDT,1,5,50,True,14,30,70,9999.96,10000.0,0.0,0.0
11,BTCUSDT,1,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
19,BTCUSDT,5,5,30,True,14,30,70,9999.96,10000.0,0.0,0.0
21,BTCUSDT,5,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
23,BTCUSDT,5,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
25,BTCUSDT,5,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
27,BTCUSDT,5,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
29,BTCUSDT,5,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
33,BTCUSDT,5,20,50,True,14,30,70,9999.97,10000.0,0.0,0.0
35,BTCUSDT,5,20,100,True,14,30,70,9999.92,10000.0,0.0,0.0
37,BTCUSDT,15,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
39,BTCUSDT,15,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
41,BTCUSDT,15,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
43,BTCUSDT,15,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
45,BTCUSDT,15,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
47,BTCUSDT,15,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
51,BTCUSDT,15,20,50,True,14,30,70,10000.0,10000.0,0.0,0.0
53,BTCUSDT,15,20,100,True,14,30,70,10000.0,10000.0,0.0,0.0
55,ETHUSDT,1,5,30,True,14,30,70,9999.91,10000.0,0.0,0.0
61,ETHUSDT,1,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
63,ETHUSDT,1,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
65,ETHUSDT,1,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
69,ETHUSDT,1,20,50,True,14,30,70,9999.84,10000.0,0.0,0.0
73,ETHUSDT,5,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
75,ETHUSDT,5,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
77,ETHUSDT,5,5,100,True,14,30,70,9999.92,10000.0,0.0,0.0
79,ETHUSDT,5,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
81,ETHUSDT,5,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
83,ETHUSDT,5,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
89,ETHUSDT,5,20,100,True,14,30,70,9999.89,10000.0,0.0,0.0
91,ETHUSDT,15,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
