test_id,symbol,interval,short_ma,long_ma,use_rsi_filter,rsi_period,rsi_oversold,rsi_overbought,train_final_balance,test_final_balance,max_drawdown_pct,win_rate_pct
1,BTCUSDT,1,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
2,BTCUSDT,1,5,30,False,14,30,70,10000.0,10000.0,0.0,0.0
3,BTCUSDT,1,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
4,BTCUSDT,1,5,50,False,14,30,70,10000.0,10000.0,0.0,0.0
5,BTCUSDT,1,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
6,BTCUSDT,1,5,100,False,14,30,70,10000.0,10000.0,0.0,0.0
7,BTCUSDT,1,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
8,BTCUSDT,1,10,30,False,14,30,70,10000.0,10000.0,0.0,0.0
9,BTCUSDT,1,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
10,BTCUSDT,1,10,50,False,14,30,70,10000.0,10000.0,0.0,0.0
11,BTCUSDT,1,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
12,BTCUSDT,1,10,100,False,14,30,70,10000.0,10000.0,0.0,0.0
13,BTCUSDT,1,20,30,True,14,30,70,10000.0,10000.0,0.0,0.0
14,BTCUSDT,1,20,30,False,14,30,70,10000.0,10000.0,0.0,0.0
15,BTCUSDT,1,20,50,True,14,30,70,10000.0,10000.0,0.0,0.0
16,BTCUSDT,1,20,50,False,14,30,70,10000.0,10000.0,0.0,0.0
17,BTCUSDT,1,20,100,True,14,30,70,10000.0,10000.0,0.0,0.0
18,BTCUSDT,1,20,100,False,14,30,70,10000.0,10000.0,0.0,0.0
19,BTCUSDT,5,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
20,BTCUSDT,5,5,30,False,14,30,70,10000.0,10000.0,0.0,0.0
21,BTCUSDT,5,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
22,BTCUSDT,5,5,50,False,14,30,70,10000.0,10000.0,0.0,0.0
23,BTCUSDT,5,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
24,BTCUSDT,5,5,100,False,14,30,70,10000.0,10000.0,0.0,0.0
25,BTCUSDT,5,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
26,BTCUSDT,5,10,30,False,14,30,70,10000.0,10000.0,0.0,0.0
27,BTCUSDT,5,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
28,BTCUSDT,5,10,50,False,14,30,70,10000.0,10000.0,0.0,0.0
29,BTCUSDT,5,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
30,BTCUSDT,5,10,100,False,14,30,70,10000.0,10000.0,0.0,0.0
31,BTCUSDT,5,20,30,True,14,30,70,10000.0,10000.0,0.0,0.0
32,BTCUSDT,5,20,30,False,14,30,70,10000.0,10000.0,0.0,0.0
33,BTCUSDT,5,20,50,True,14,30,70,10000.0,10000.0,0.0,0.0
34,BTCUSDT,5,20,50,False,14,30,70,10000.0,10000.0,0.0,0.0
35,BTCUSDT,5,20,100,True,14,30,70,10000.0,10000.0,0.0,0.0
36,BTCUSDT,5,20,100,False,14,30,70,10000.0,10000.0,0.0,0.0
37,BTCUSDT,15,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
38,BTCUSDT,15,5,30,False,14,30,70,10000.0,10000.0,0.0,0.0
39,BTCUSDT,15,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
40,BTCUSDT,15,5,50,False,14,30,70,10000.0,10000.0,0.0,0.0
41,BTCUSDT,15,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
42,BTCUSDT,15,5,100,False,14,30,70,10000.0,10000.0,0.0,0.0
43,BTCUSDT,15,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
44,BTCUSDT,15,10,30,False,14,30,70,10000.0,10000.0,0.0,0.0
45,BTCUSDT,15,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
46,BTCUSDT,15,10,50,False,14,30,70,10000.0,10000.0,0.0,0.0
47,BTCUSDT,15,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
48,BTCUSDT,15,10,100,False,14,30,70,10000.0,10000.0,0.0,0.0
49,BTCUSDT,15,20,30,True,14,30,70,10000.0,10000.0,0.0,0.0
50,BTCUSDT,15,20,30,False,14,30,70,10000.0,10000.0,0.0,0.0
51,BTCUSDT,15,20,50,True,14,30,70,10000.0,10000.0,0.0,0.0
52,BTCUSDT,15,20,50,False,14,30,70,10000.0,10000.0,0.0,0.0
53,BTCUSDT,15,20,100,True,14,30,70,10000.0,10000.0,0.0,0.0
54,BTCUSDT,15,20,100,False,14,30,70,10000.0,10000.0,0.0,0.0
55,ETHUSDT,1,5,30,True,14,30,70,10000.0,10000.0,0.0,0.0
56,ETHUSDT,1,5,30,False,14,30,70,10000.0,10583.9,0.0,0.0
57,ETHUSDT,1,5,50,True,14,30,70,10000.0,10000.0,0.0,0.0
58,ETHUSDT,1,5,50,False,14,30,70,10000.0,10581.45,0.0,0.0
59,ETHUSDT,1,5,100,True,14,30,70,10000.0,10000.0,0.0,0.0
60,ETHUSDT,1,5,100,False,14,30,70,10000.0,10596.01,0.0,0.0
61,ETHUSDT,1,10,30,True,14,30,70,10000.0,10000.0,0.0,0.0
62,ETHUSDT,1,10,30,False,14,30,70,10000.0,10581.08,0.0,0.0
63,ETHUSDT,1,10,50,True,14,30,70,10000.0,10000.0,0.0,0.0
64,ETHUSDT,1,10,50,False,14,30,70,10000.0,10583.24,0.0,0.0
65,ETHUSDT,1,10,100,True,14,30,70,10000.0,10000.0,0.0,0.0
66,ETHUSDT,1,10,100,False,14,30,70,10000.0,10596.73,0.0,0.0
67,ETHUSDT,1,20,30,True,14,30,70,10000.0,9851.86,0.0,0.0
68,ETHUSDT,1,20,30,False,14,30,70,10000.0,10585.16,0.0,0.0
69,ETHUSDT,1,20,50,True,14,30,70,10000.0,10000.0,0.0,0.0
